Edge
2 1
2 26
2 28
2 34
2 38
2 46
2 58
2 90
2 102
2 104
2 106
2 110
1 5
1 10
1 17
1 24
1 34
1 36
1 42
1 66
1 91
1 94
1 105
5 6
5 10
5 17
5 24
5 29
5 42
5 70
5 94
5 105
5 109
10 9
10 17
10 23
10 24
10 42
10 65
10 94
10 105
10 109
17 18
17 24
17 39
17 42
17 68
17 82
17 94
17 105
24 23
24 42
24 79
24 91
24 94
24 105
24 112
34 20
34 26
34 38
34 46
34 90
34 104
34 106
34 110
36 20
36 30
36 31
36 35
36 45
36 56
36 80
36 93
36 95
36 102
42 9
42 41
42 68
42 94
42 105
66 18
66 21
66 28
66 57
66 64
66 67
66 71
66 88
66 97
66 114
91 6
91 9
91 12
91 25
91 29
91 51
91 70
94 81
94 83
94 92
94 105
105 12
105 68
105 73
105 88
105 115
26 25
26 38
26 46
26 54
26 90
26 104
26 106
26 107
26 110
28 18
28 27
28 57
28 63
28 64
28 71
28 77
28 96
28 97
38 37
38 46
38 81
38 90
38 96
38 104
38 106
38 110
46 14
46 45
46 63
46 90
46 104
46 106
46 110
58 43
58 45
58 49
58 57
58 76
58 87
58 92
58 93
58 113
90 56
90 89
90 100
90 104
90 106
90 110
102 20
102 30
102 31
102 52
102 56
102 59
102 80
102 95
104 71
104 103
104 106
104 110
106 63
106 81
106 110
110 31
110 64
110 80
4 3
4 6
4 12
4 27
4 41
4 53
4 59
4 73
4 75
4 82
4 85
4 103
3 7
3 14
3 15
3 16
3 48
3 61
3 65
3 73
3 75
3 101
3 107
7 8
7 33
7 40
7 48
7 56
7 59
7 61
7 65
7 86
7 101
7 107
14 13
14 16
14 33
14 40
14 61
14 65
14 101
14 107
14 111
15 13
15 16
15 27
15 39
15 44
15 55
15 72
15 86
15 100
16 33
16 40
16 48
16 61
16 69
16 93
16 101
16 107
16 115
48 23
48 33
48 40
48 47
48 61
48 62
48 65
48 101
61 11
61 40
61 60
61 65
61 72
61 107
65 33
65 64
65 101
65 107
65 112
73 11
73 41
73 53
73 72
73 75
73 82
73 103
73 108
75 6
75 11
75 41
75 53
75 74
75 83
75 85
75 103
101 33
101 40
101 83
101 100
101 103
107 33
107 40
107 57
107 93
6 11
6 12
6 53
6 82
6 85
6 98
6 99
6 108
12 11
12 25
12 29
12 51
12 70
12 98
27 13
27 35
27 39
27 43
27 44
27 62
27 86
41 8
41 52
41 53
41 82
41 99
41 103
41 108
53 54
53 85
53 99
53 103
53 113
59 18
59 37
59 60
59 64
59 89
59 98
59 115
82 11
82 83
82 84
82 85
82 99
82 108
85 11
85 25
85 50
85 84
85 99
85 108
103 11
103 99
103 108
29 25
29 39
29 51
29 70
29 79
29 114
70 25
70 51
70 71
70 84
70 89
70 92
70 96
109 8
109 22
109 23
109 52
109 69
109 78
109 79
109 112
11 99
11 108
98 60
98 64
98 87
98 99
98 113
99 49
99 78
99 108
108 76
108 89
8 9
8 22
8 23
8 69
8 74
8 78
8 79
8 83
8 112
33 22
33 32
33 40
33 50
40 39
40 55
40 83
56 20
56 30
56 31
56 32
56 55
56 80
56 95
86 13
86 32
86 39
86 44
86 81
86 100
9 22
9 23
9 52
9 69
9 78
9 79
9 112
22 21
22 23
22 47
22 52
22 69
22 78
22 112
23 52
23 69
23 78
23 79
69 51
69 52
69 68
69 79
69 112
74 47
74 50
74 54
74 68
74 78
74 84
74 89
74 111
74 115
78 52
78 79
78 83
78 112
79 51
79 52
79 112
83 30
83 31
83 81
83 95
112 47
112 52
52 51
25 51
25 67
25 88
25 111
51 31
13 18
13 19
13 35
13 37
13 39
13 44
18 21
18 63
18 88
18 96
18 97
18 114
19 20
19 32
19 35
19 37
19 39
19 43
19 55
19 62
19 72
19 100
35 32
35 43
35 55
35 62
35 72
35 95
35 100
37 20
37 21
37 44
37 60
39 44
39 55
39 72
44 32
44 43
44 62
44 71
44 80
111 47
111 50
111 54
111 68
111 81
111 84
111 89
111 115
55 32
55 62
55 72
55 100
72 32
72 62
72 100
100 32
100 62
93 49
93 62
93 67
93 76
93 87
93 92
93 113
115 47
115 50
115 54
115 68
115 84
115 89
68 47
68 50
68 54
68 84
68 89
21 63
21 71
21 76
21 77
21 88
21 97
21 114
63 57
63 62
63 71
63 77
63 88
63 96
88 57
88 87
88 96
88 97
88 114
96 57
96 71
96 77
96 114
97 49
97 57
97 77
97 113
97 114
114 60
114 71
114 77
20 30
20 31
20 45
20 80
20 95
32 62
32 80
43 30
43 64
30 31
30 80
30 81
30 92
30 95
31 45
31 80
31 95
45 49
45 67
45 76
45 87
45 92
45 113
80 81
80 95
95 81
71 57
71 77
76 49
76 67
76 77
76 87
76 113
77 57
77 60
77 67
47 50
47 54
47 84
47 89
67 49
67 60
67 87
67 92
67 113
54 49
54 50
54 84
54 87
54 89
64 60
64 113
81 87
81 92
92 49
92 87
92 113
50 49
50 84
50 89
49 87
84 89
